GeneSetID,Genes
Alveolar Fibrotic- Epithelial,ASRGL1
Alveolar Fibrotic- Epithelial,BLVRB
Alveolar Fibrotic- Epithelial,BMP2
Alveolar Fibrotic- Epithelial,C11orf96
Alveolar Fibrotic- Epithelial,C16orf89
Alveolar Fibrotic- Epithelial,C1orf21
Alveolar Fibrotic- Epithelial,C3
Alveolar Fibrotic- Epithelial,C4BPA
Alveolar Fibrotic- Epithelial,CA2
Alveolar Fibrotic- Epithelial,CACNA2D2
Alveolar Fibrotic- Epithelial,CAT
Alveolar Fibrotic- Epithelial,CD74
Alveolar Fibrotic- Epithelial,CD83
Alveolar Fibrotic- Epithelial,CDC42EP1
Alveolar Fibrotic- Epithelial,CHCHD7
Alveolar Fibrotic- Epithelial,CHI3L1
Alveolar Fibrotic- Epithelial,CHI3L2
Alveolar Fibrotic- Epithelial,CHIAP2
Alveolar Fibrotic- Epithelial,CHP1
Alveolar Fibrotic- Epithelial,CPB2
Alveolar Fibrotic- Epithelial,CRTAC1
Alveolar Fibrotic- Epithelial,CSF3
Alveolar Fibrotic- Epithelial,CSF3R
Alveolar Fibrotic- Epithelial,CTSH
Alveolar Fibrotic- Epithelial,CXCL2
Alveolar Fibrotic- Epithelial,CXCL3
Alveolar Fibrotic- Epithelial,DBI
Alveolar Fibrotic- Epithelial,DCXR
Alveolar Fibrotic- Epithelial,DMBT1
Alveolar Fibrotic- Epithelial,DRAM1
Alveolar Fibrotic- Epithelial,EDNRB
Alveolar Fibrotic- Epithelial,ELAPOR2
Alveolar Fibrotic- Epithelial,ESAM
Alveolar Fibrotic- Epithelial,ETV1
Alveolar Fibrotic- Epithelial,ETV5
Alveolar Fibrotic- Epithelial,FABP5
Alveolar Fibrotic- Epithelial,FASN
Alveolar Fibrotic- Epithelial,FGG
Alveolar Fibrotic- Epithelial,FMO5
Alveolar Fibrotic- Epithelial,FTL
Alveolar Fibrotic- Epithelial,GSTA4
Alveolar Fibrotic- Epithelial,HHIP
