Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps,Number of PCs
GON_040_26,20,0.3980180440621884,0.0482039088883251,40,7
GON_040_27,20,0.5674444164789644,0.0861940459297866,40,8
GON_040_28,20,0.4135976574010764,0.0818454106770927,40,8
GON_040_29,20,0.4966047116635134,0.0741088737140082,40,8
GON_040_30,20,0.6041155649360825,0.1121508306595463,40,7
GON_040_31,20,0.4325628897349035,0.0571491666063756,40,7
GON_040_32,20,0.3923417036664772,0.0352288577438202,40,7
GON_040_33,20,0.624409092891007,0.0488422327614472,40,7
GON_040_34,20,0.3504074339641956,0.0325488149956119,40,7
GON_040_35,20,0.314560887759805,0.0089473551655803,40,7
GON_040_36,20,0.5382089042349186,0.0520575375167684,40,6
GON_040_37,20,0.4927089486090599,0.0193909515883003,40,6
GON_040_38,20,0.3926571105978975,0.0312582908643459,40,6
GON_040_39,20,0.4329950384490948,0.0278305995168159,40,6
GON_040_40,20,0.6361867607781521,0.0370336238677016,40,6
GON_040_41,20,0.4209684683322753,0.0398939761713675,40,6
GON_040_42,20,0.5656174169078113,0.0364418374386468,40,8
GON_040_43,20,0.6337513948587009,0.04030990484352,40,8
GON_040_44,20,0.6363545672724454,0.0430411217492709,40,8
GON_040_45,20,0.5996095920346886,0.0965558805959815,40,8
GON_040_46,20,0.628001528483623,0.0572154173713201,40,8
GON_040_47,20,0.3648443577550952,0.0437984400380921,40,8
GON_040_48,20,0.3383921246976701,0.0237701918180789,40,7
GON_040_49,20,0.4627926164112304,0.029764807234014,40,7
GON_040_50,20,0.4631841126125984,0.045050851769619,40,7
GON_050_01,25,0.3235029557509374,0.0189896997362701,50,7
GON_050_02,25,0.5535110804866571,0.051808054461051,50,7
GON_050_03,25,0.6486908665358323,0.0805123886196998,50,7
GON_050_04,25,0.4390034764267583,0.1075771992856927,50,7
GON_050_05,25,0.4648680959069524,0.0749407680846214,50,7
GON_050_06,25,0.3139772281802986,0.0224618798304702,50,7
GON_050_07,25,0.5813466085514447,0.0331969077133818,50,6
GON_050_08,25,0.3605611848305057,0.0284879446164752,50,6
GON_050_09,25,0.5641214348614824,0.0205254953954394,50,6
GON_050_10,25,0.4982898896754956,0.0724090163862722,50,8
GON_050_11,25,0.5542887080511695,0.0609211135069275,50,8
GON_050_12,25,0.4315454530995968,0.0542714726082959,50,8
GON_050_13,25,0.551928398115698,0.0443552785215568,50,6
GON_050_14,25,0.5963563290319824,0.050005474938153,50,6
GON_050_15,25,0.419624891199728,0.05344027566727,50,6
GON_050_16,25,0.480594895122864,0.0695094457423824,50,7
GON_050_17,25,0.3893331665808908,0.0347255698129187,50,7
GON_050_18,25,0.4792245654837095,0.0376708888726884,50,7
GON_050_19,25,0.3758526189898428,0.0254861649017009,50,7
GON_050_20,25,0.4328772785300145,0.0565028025700136,50,7
GON_050_21,25,0.5553863172480077,0.0741015200813099,50,7
GON_050_22,25,0.4814423446490474,0.0549057154803263,50,8
GON_050_23,25,0.3963185095839669,0.0567954562149312,50,8
GON_050_24,25,0.5728175137342301,0.042000363322218,50,8
GON_050_25,25,0.4895471158604493,0.0726941999952498,50,7
GON_050_26,25,0.3910196932325889,0.0174270499749271,50,7
GON_050_27,25,0.739628103667091,0.0695206887110696,50,7
GON_050_28,25,0.5976072068241062,0.0458750695358551,50,8
GON_050_29,25,0.4479259247345277,0.0322993451148925,50,8
GON_050_30,25,0.5793347282013036,0.1102088620929418,50,8
GON_050_31,25,0.6557695111923594,0.0606180107111529,50,7
GON_050_32,25,0.4108571285004643,0.0405989025755443,50,7
GON_050_33,25,0.6725388619983548,0.0930711407483011,50,7
GON_050_34,25,0.3336541249399946,0.1380251615579338,50,7
GON_050_35,25,0.360439444837223,0.0516031210463585,50,7
GON_050_36,25,0.5454884724894068,0.0538971225595463,50,7
GON_050_37,25,0.4982521202903047,0.0216332426765282,50,7
GON_050_38,25,0.6249496080744829,0.1044123267106924,50,7
GON_050_39,25,0.5904154219315658,0.0437565825405424,50,7
GON_050_40,25,0.5907347341795801,0.0495655689927179,50,8
GON_050_41,25,0.3656792893459404,0.033096702329527,50,8
GON_050_42,25,0.5595065079639904,0.0311459027483392,50,8
GON_050_43,25,0.3400833891620471,0.0506886457061358,50,8
GON_050_44,25,0.4489408411670901,0.0555909524030853,50,8
GON_050_45,25,0.4457767395906254,0.087876064267057,50,8
GON_050_46,25,0.4526669016077565,0.0322098219654432,50,7
GON_050_47,25,0.69938782265641,0.0433086782456788,50,7
GON_050_48,25,0.4436246343295983,0.0194542317212765,50,7
GON_050_49,25,0.4726496111840039,0.0658887380061066,50,6
GON_050_50,25,0.6200001246718725,0.0238320745345188,50,6
GON_060_01,30,0.748969120892958,0.1019828165546643,60,6
