Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,PC1 Variance,Number of PCs,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
30R090_10,90,0.051736121,0.257694234,0.487112129,7.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200b,miR200a;SNAI1;TGFbeta;miR34a;SNAI2,miR101;GSC;ZEB1;miR200c;miR141;miR200b,ZEB2;FOXC2;TWIST2;TWIST1;miR200a;SNAI1;TGFbeta;miR34a;SNAI2,0.2666666666666666,0.7333333333333333
30R100_01,100,0.005000675,0.179168691,0.237441245,9.0,ZEB2;miR101;FOXC2;miR200c;TWIST1;SNAI1;TGFbeta,GSC;ZEB1;TWIST2;miR141;miR200a;miR200b;miR34a;SNAI2,ZEB2;miR101;GSC;FOXC2;TWIST2;miR200c;miR141;SNAI1;miR34a,ZEB1;TWIST1;miR200a;miR200b;TGFbeta;SNAI2,0.4,0.6
30R100_02,100,0.06352528,0.301075294,0.578043724,5.0,ZEB2;ZEB1;TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;SNAI2,miR101;GSC;FOXC2;miR200c;TGFbeta;miR34a,miR101;miR200c;miR200a;miR34a,ZEB2;GSC;FOXC2;ZEB1;TWIST2;TWIST1;miR141;SNAI1;miR200b;TGFbeta;SNAI2,0.7333333333333333,0.2666666666666666
30R100_03,100,0.029950598,0.324758904,0.441763423,6.0,ZEB2;miR101;TWIST1;miR200a;TGFbeta;miR34a,GSC;FOXC2;ZEB1;TWIST2;miR200c;miR141;SNAI1;miR200b;SNAI2,ZEB2;miR101;GSC;TWIST2;miR141;miR200a;miR200b;miR34a,FOXC2;ZEB1;miR200c;TWIST1;SNAI1;TGFbeta;SNAI2,0.4,0.6
30R100_04,100,0.028012623,0.324087195,0.384196508,6.0,ZEB2;miR101;ZEB1;TWIST1;miR141;miR200a;SNAI2,GSC;FOXC2;TWIST2;miR200c;SNAI1;miR200b;TGFbeta;miR34a,miR101;FOXC2;ZEB1;miR200c;TWIST1;SNAI2,ZEB2;GSC;TWIST2;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a,0.3333333333333333,0.6666666666666666
30R100_05,100,0.018571476,0.310470887,0.404314562,6.0,ZEB2;TWIST2;miR200c;TWIST1;SNAI1;TGFbeta;miR34a,miR101;GSC;FOXC2;ZEB1;miR141;miR200a;miR200b;SNAI2,ZEB2;miR101;FOXC2;ZEB1;TWIST1;SNAI1;TGFbeta;miR34a,GSC;TWIST2;miR200c;miR141;miR200a;miR200b;SNAI2,0.3333333333333333,0.6666666666666666
30R100_06,100,0.039268827,0.203565586,0.383775292,8.0,ZEB2;miR101;GSC;TWIST2;miR200c;miR141;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,FOXC2;ZEB1;TWIST1;miR200a,ZEB2;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR200a;TGFbeta;miR34a,miR101;GSC;miR141;SNAI1;miR200b;SNAI2,0.6666666666666666,0.3333333333333333
30R100_07,100,0.019032257,0.162509121,0.420111368,7.0,ZEB2;GSC;FOXC2;ZEB1;TWIST1;miR141;miR200b;TGFbeta;SNAI2,miR101;TWIST2;miR200c;miR200a;SNAI1;miR34a,ZEB2;miR101;TWIST2;miR200c;miR34a;SNAI2,GSC;FOXC2;ZEB1;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta,0.7333333333333333,0.2666666666666666
30R100_08,100,0.051117922,0.274178128,0.429766634,7.0,ZEB2;miR101;GSC;FOXC2;TWIST1;miR141;TGFbeta;miR34a,ZEB1;TWIST2;miR200c;miR200a;SNAI1;miR200b;SNAI2,miR101;ZEB1;TWIST2;miR200c;miR200a;SNAI1;miR200b;SNAI2,ZEB2;GSC;FOXC2;TWIST1;miR141;TGFbeta;miR34a,0.9333333333333332,0.0666666666666666
30R100_09,100,0.036768628,0.267515051,0.563739136,7.0,ZEB2;GSC;FOXC2;ZEB1;miR141;SNAI1,miR101;TWIST2;miR200c;TWIST1;miR200a;miR200b;TGFbeta;miR34a;SNAI2,TWIST2;miR200c;miR200a;miR200b;TGFbeta;miR34a,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST1;miR141;SNAI1;SNAI2,0.8,0.2
